Name;Type;Max.TT;Price (M);Price (F);Source
Star Satin Scarlet Shoes;Shoes;5; ; ;Old time
Star Satin Serenity Shoes;Shoes;4.5; ; ;Old time
Star Satin Sky Bra;Underwear;2; ; ;Old time
Star Satin Sky Panties;Underwear;2; ; ;Old time
Star Satin Sunshine Shoes;Shoes;5; ; ;Old time
Star Sexy Top (F,C); ;160; ; ;Crafted
Stel Brigand Facemask;Facemask;75; ; ;Crafted
Stel Brigand Footwear;Shoes; ; ; ;Crafted
Stel Brigand Gloves;Gloves;43.5; ; ;Crafted
Stel Brigand Shirt;Shirt;59.25; ; ;Crafted
Stel Brigand Trousers;Pants;22; ; ;Crafted
Storm Coat Amber;Coats;40; ; ;Daily Token Trader
Storm Coat Amethyst;Coats;40; ; ;Daily Token Trader
Storm Coat Aquamarine;Coats;40; ; ;Daily Token Trader
Storm Coat Charcoal;Coats;60; ; ;Daily Token Trader
Storm Coat Emerald;Coats;40; ; ;Daily Token Trader
Storm Coat Gold;Coats;60; ; ;Daily Token Trader
Storm Coat Sapphire;Coats;40; ; ;Daily Token Trader
Storm Jeans;Pants;55; ; ;Crafted
Storm Kolor Jeans (C);Pants;45; ; ;Crafted
Street Pattern Pants (C);Pants;26; ; ;Crafted
Street Pattern Shirt (C);Shirt;26; ; ;Crafted
Striped 1 Over The Knee Socks (C);Underwear; ; ; ;Crafted
Striped Over The Knee Socks (C);Underwear;35; ; ;Crafted
Striped Sport Shirt (C);Shirt;17; ; ;Crafted
Stripe Pants (C);Pants;144; ; ;Crafted
Stum Shirt (C);Shirt;28; ; ;Crafted
Stylus 1 Trucker Cap (C);Hats;2; ; ;Crafted
Stylus 2 Trucker Cap (C);Hats;3; ; ;Crafted
Stylus 3 Trucker Cap (C);Hats;4; ; ;Crafted
Stylus 4 Trucker Cap (C);Hats;5; ; ;Crafted
Stylus 5 Trucker Cap (C);Hats;6; ; ;Crafted
Sun Cap (C);Hats;99; ; ;Crafted
Sunset Shorts (C);Shorts;66; ; ;Crafted
Superstar ROCK T-Shirt (C);Shirt;78; ; ;Crafted
Superstar Sexy Top (C);Shirt;140; ; ;Crafted
Super Trucker Hat (C);Hats;60; ; ;Crafted
Super Vixen Trucker Hat (C);Hats;60; ; ;Crafted
