Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Jaguar Thigh Guards;Jaguar;83.4;1200.00 PED;1900.00 PED;Planet Calypso
Jaguar Thigh Guards (L);Jaguar (L);83.4; ; ;Planet Calypso
Jaguar Thigh Guards, Adjusted;Jaguar, Adjusted;83.4; ; ;Planet Calypso
Jaguar Thigh Guards, SGA Edition;Jaguar, SGA Edition;83.4; ;1138.97 PED;Planet Calypso
Jarhead Arm Guards (C);Jarhead (C);55; ; ;ROCKtropia
Jarhead Arm Guards (L);Jarhead (L);55; ; ;ROCKtropia
Jarhead Combat Mask (C);Jarhead (C);51; ; ;ROCKtropia
Jarhead Combat Mask (L);Jarhead (L);51; ; ;ROCKtropia
Jarhead Foot Guards (C);Jarhead (C);46; ; ;ROCKtropia
Jarhead Foot Guards (L);Jarhead (L);53; ; ;ROCKtropia
Jarhead Gloves (C);Jarhead (C);56; ; ;ROCKtropia
Jarhead Gloves (L);Jarhead (L);56; ; ;ROCKtropia
Jarhead Harness (C);Jarhead (C);74; ; ;ROCKtropia
Jarhead Harness (L);Jarhead (L);74; ; ;ROCKtropia
Jarhead Shin Guards (C);Jarhead (C);48; ; ;ROCKtropia
Jarhead Shin Guards (L);Jarhead (L);48; ; ;ROCKtropia
Jarhead Thigh Guards (C);Jarhead (C);49; ; ;ROCKtropia
Jarhead Thigh Guards (L);Jarhead (L);49; ; ;ROCKtropia
Knight Arm Guards;Knight;27; ; ;Planet Calypso
Knight Face Guard;Knight;13.5; ; ;Planet Calypso
Knight Foot Guards;Knight;13.5; ; ;Planet Calypso
Knight Gloves;Knight;13.5; ; ;Planet Calypso
Knight Harness;Knight;40.5; ; ;Planet Calypso
Knight Shin Guards;Knight;13.5; ; ;Planet Calypso
Knight Thigh Guards;Knight;27; ; ;Planet Calypso
Kobold Arm Guards;Kobold;18.3; ; ;Planet Calypso
Kobold Arm Guards, SGA Edition;Kobold, SGA Edition;18.3; ; ;Planet Calypso
Kobold Face Guard;Kobold;17.5; ; ;Planet Calypso
Kobold Face Guard, SGA Edition;Kobold, SGA Edition;17.5; ; ;Planet Calypso
Kobold Foot Guards;Kobold;16.5; ; ;Planet Calypso
Kobold Foot Guards, SGA Edition;Kobold, SGA Edition;16.5; ; ;Planet Calypso
Kobold Gloves;Kobold;16.5; ; ;Planet Calypso
Kobold Gloves, SGA Edition;Kobold, SGA Edition;16.5; ; ;Planet Calypso
Kobold Harness;Kobold;22.6; ; ;Planet Calypso
Kobold Harness, SGA Edition;Kobold, SGA Edition;22.6; ; ;Planet Calypso
Kobold Shin Guards;Kobold;21.2; ; ;Planet Calypso
Kobold Shin Guards, SGA Edition;Kobold, SGA Edition;21.2; ; ;Planet Calypso
Kobold Thigh Guards;Kobold;20.2; ; ;Planet Calypso
Kobold Thigh Guards, SGA Edition;Kobold, SGA Edition;20.2; ; ;Planet Calypso
Koroma Arm Guards;Koroma;5.6;14.00 PED;11.22 PED;Planet Arkadia
Koroma Foot Guards;Koroma;4.8;20.00 PED;10.00 PED;Planet Arkadia
Koroma Gloves;Koroma;4;16.00 PED;20.00 PED;Planet Arkadia
Koroma Harness;Koroma;9.6;23.00 PED;23.00 PED;Planet Arkadia
Koroma Helmet;Koroma;5.2;35.00 PED;20.00 PED;Planet Arkadia
Koroma Shin Guards;Koroma;5.2;18.00 PED;15.00 PED;Planet Arkadia
Koroma Thigh Guards;Koroma;5.6;35.00 PED;20.00 PED;Planet Arkadia
Liakon Arm Guards;Liakon;42; ; ;Planet Arkadia
Liakon Foot Guards;Liakon;20; ; ;Planet Arkadia
Liakon Gloves;Liakon;48; ; ;Planet Arkadia
Liakon Harness;Liakon;48; ; ;Planet Arkadia
Liakon Helmet;Liakon;26; ; ;Planet Arkadia
Liakon Shin Guards;Liakon;28; ; ;Planet Arkadia
Liakon Thigh Guards;Liakon;42; ; ;Planet Arkadia
Lich Arm Guards (L);Lich (L);101; ; ;Planet Calypso
Lich Foot Guards (L);Lich (L);97; ; ;Planet Calypso
Lich Gloves (L);Lich (L);97; ; ;Planet Calypso
Lich Harness (L);Lich (L);147; ; ;Planet Calypso
Lich Helmet (L);Lich (L);105; ; ;Planet Calypso
Lich Shin Guards (L);Lich (L);106; ; ;Planet Calypso
Lich Thigh Guards (L);Lich (L);105; ; ;Planet Calypso
Lion Arm Guards;Lion;110;2500.00 PED; ;Planet Calypso
Lion Foot Guards;Lion;91; ; ;Planet Calypso
Lion Gloves;Lion;91;1750.00 PED; ;Planet Calypso
Lion Harness;Lion;145;3000.00 PED; ;Planet Calypso
Lion Helmet;Lion;110;2500.00 PED; ;Planet Calypso
Lion Shin Guards;Lion;99; ; ;Planet Calypso
Lion Thigh Guards;Lion;120; ; ;Planet Calypso
Luna Arm Guards (L);Luna (L);85; ; ;Planet Calypso
Luna Foot Guards (L);Luna (L);85; ; ;Planet Calypso
Luna Gloves (L);Luna (L);85; ; ;Planet Calypso
Luna Harness (L);Luna (L);113.5; ; ;Planet Calypso
Luna Helmet (L);Luna (L);57; ; ;Planet Calypso
Luna Shin Guards (L);Luna (L);88.5; ; ;Planet Calypso
Luna Thigh Guards (L);Luna (L);89; ; ;Planet Calypso
Lupus Arm Guards;Lupus;27; ; ;Planet Arkadia
Lupus Arm Guards (L);Lupus (L);25;175.00%;180.00%;Planet Arkadia
Lupus Foot Guards;Lupus;19.8; ; ;Planet Arkadia
Lupus Foot Guards (L);Lupus (L);22;175.00%;180.00%;Planet Arkadia
Lupus Gloves;Lupus;16.4; ; ;Planet Arkadia
Lupus Gloves (L);Lupus (L);19;175.00%;180.00%;Planet Arkadia
Lupus Harness;Lupus;43.2; ; ;Planet Arkadia
Lupus Harness (L);Lupus (L);43;175.00%;180.00%;Planet Arkadia
Lupus Helmet;Lupus;23.4; ; ;Planet Arkadia
Lupus Helmet (L);Lupus (L);23;175.00%;180.00%;Planet Arkadia
Lupus Shin Guards;Lupus;25.2; ; ;Planet Arkadia
Lupus Shin Guards (L);Lupus (L);23;175.00%;180.00%;Planet Arkadia
Lupus Thigh Guards;Lupus;25.2; ; ;Planet Arkadia
Lupus Thigh Guards (L);Lupus (L);25;175.00%;180.00%;Planet Arkadia
Mah'ketta Arm Guards;Mah'ketta;28;33.00 PED;25.00 PED;Planet Arkadia
Mah'ketta Foot Guards;Mah'ketta;24;50.00 PED;33.00 PED;Planet Arkadia
Mah'ketta Gloves;Mah'ketta;20;35.00 PED;34.00 PED;Planet Arkadia
Mah'ketta Harness;Mah'ketta;48;125.00 PED;75.00 PED;Planet Arkadia
Mah'ketta Helmet;Mah'ketta;26;30.00 PED;50.00 PED;Planet Arkadia
Mah'ketta Shin Guards;Mah'ketta;26;33.00 PED;55.00 PED;Planet Arkadia
Mah'ketta Thigh Guards;Mah'ketta;28;30.00 PED;60.00 PED;Planet Arkadia
Malgar Arm Guards (L);Malgar (L);20; ; ;Monria
Malgar Foot Guards (L);Malgar (L);10; ; ;Monria
Malgar Gloves;Malgar;10; ; ;Monria
Malgar Gloves (L);Malgar (L);10; ; ;Monria
Malgar Harness (L);Malgar (L);30; ; ;Monria
Malgar Helmet (L);Malgar (L);20; ; ;Monria
Malgar Shin Guards (L);Malgar (L);10; ; ;Monria
Malgar Thigh Guards;Malgar;20; ; ;Monria
Malgar Thigh Guards (L);Malgar (L);20; ; ;Monria
Malware Arm Guards (L);Malware (L);150; ; ;ROCKtropia
Malware Foot Guards (L);Malware (L);75; ; ;ROCKtropia
Malware Helmet (L);Malware (L);75; ; ;ROCKtropia
Malware Shin Guards (L);Malware (L);75; ; ;ROCKtropia
Malware Thigh Guards (L);Malware (L);150; ; ;ROCKtropia
Martial Arm Guards (L);Martial (L);66; ;103.03%;Planet Calypso
Martial Arm Guards, SGA Edition;Martial, SGA Edition;66; ; ;Planet Calypso
Martial Foot Guards (L);Martial (L);66; ;104.55%;Planet Calypso
Martial Foot Guards, SGA Edition;Martial, SGA Edition;66; ; ;Planet Calypso
Martial Gloves (L);Martial (L);66; ;104.96%;Planet Calypso
Martial Gloves, SGA Edition;Martial, SGA Edition;66; ; ;Planet Calypso
Martial Harness (L);Martial (L);110; ;107.00%;Planet Calypso
Martial Harness, SGA Edition;Martial, SGA Edition;110; ; ;Planet Calypso
Martial Helmet (L);Martial (L);59.2; ;104.73%;Planet Calypso
Martial Helmet, SGA Edition;Martial, SGA Edition;59.2; ; ;Planet Calypso
Martial Shin Guards (L);Martial (L);55; ;103.64%;Planet Calypso
Martial Shin Guards, SGA Edition;Martial, SGA Edition;55; ; ;Planet Calypso
Martial Thigh Guards (L);Martial (L);64.5; ;107.00%;Planet Calypso
Martial Thigh Guards, SGA Edition;Martial, SGA Edition;64.5; ; ;Planet Calypso
Mawlood Armor Arm Guards (L);Mawlood Armor (L);2.25; ; ;Planet Toulan
Mawlood Armor Arm Guards Recruit (L);Mawlood Armor Recruit (L);0.52; ; ;Planet Toulan
Mawlood Armor Foot Guards (L);Mawlood Armor (L);1.25; ; ;Planet Toulan
Mawlood Armor Foot Guards Recruit (L);Mawlood Armor Recruit (L);0.3; ; ;Planet Toulan
Mawlood Armor Gloves (L);Mawlood Armor (L);1.25; ; ;Planet Toulan
Mawlood Armor Gloves Recruit (L);Mawlood Armor Recruit (L);0.3; ; ;Planet Toulan
Mawlood Armor Harness (L);Mawlood Armor (L);3; ; ;Planet Toulan
Mawlood Armor Harness Recruit (L);Mawlood Armor Recruit (L);0.75; ; ;Planet Toulan
Mawlood Armor Helmet (L);Mawlood Armor (L);3.6; ; ;Planet Toulan
Mawlood Armor Helmet Recruit (L);Mawlood Armor Recruit (L);0.4; ; ;Planet Toulan
Mawlood Armor Shin Guards (L);Mawlood Armor (L);2; ; ;Planet Toulan
Mawlood Armor Shin Guards Recruit (L);Mawlood Armor Recruit (L);0.34; ; ;Planet Toulan
Mawlood Armor Thigh Guards (L);Mawlood Armor (L);2.25; ; ;Planet Toulan
Mawlood Armor Thigh Guards Recruit (L);Mawlood Armor Recruit (L);0.52; ; ;Planet Toulan
Mawlood Starter Armor Harness (L);Mawlood Starter Armor (L);4.4; ; ;Planet Toulan
