Name;Armor;Max.TT;Mar. (M);Mar. (F);Found on
Sema Thigh Guards (L);Sema (L);71.3; ; ;Planet Calypso
Sentinel Arm Guards;Sentinel;235; ; ;Planet Calypso
Sentinel Arm Guards (L);Sentinel (L);235; ; ;Planet Calypso
Sentinel Arm Guards, SGA Edition;Sentinel, SGA Edition;225; ; ;Planet Calypso
Sentinel Foot Guard;Sentinel;160; ; ;Planet Calypso
Sentinel Foot Guards (L);Sentinel (L);160;193.54%; ;Planet Calypso
Sentinel Foot Guards, SGA Edition;Sentinel, SGA Edition;160; ; ;Planet Calypso
Sentinel Gloves;Sentinel;160; ; ;Planet Calypso
Sentinel Gloves (L);Sentinel (L);160; ; ;Planet Calypso
Sentinel Gloves, SGA Edition;Sentinel, SGA Edition;160; ; ;Planet Calypso
Sentinel Harness;Sentinel;340; ; ;Planet Calypso
Sentinel Harness (L);Sentinel (L);340; ; ;Planet Calypso
Sentinel Harness, SGA Edition;Sentinel, SGA Edition;340; ; ;Planet Calypso
Sentinel Helmet;Sentinel;180; ; ;Planet Calypso
Sentinel Helmet (L);Sentinel (L);180; ; ;Planet Calypso
Sentinel Helmet, SGA Edition;Sentinel, SGA Edition;180; ; ;Planet Calypso
Sentinel Shin Guards;Sentinel;215; ; ;Planet Calypso
Sentinel Shin Guards (L);Sentinel (L);215; ; ;Planet Calypso
Sentinel Shin Guards, SGA Edition;Sentinel, SGA Edition;215; ; ;Planet Calypso
Sentinel Thigh Guards;Sentinel;230; ; ;Planet Calypso
Sentinel Thigh Guards (L);Sentinel (L);230;183.76%; ;Planet Calypso
Sentinel Thigh Guards, SGA Edition;Sentinel, SGA Edition;230; ; ;Planet Calypso
Serum Arm Guards (L);Serum (L);91; ; ;Planet Calypso
Serum Foot Guards (L);Serum (L);91; ; ;Planet Calypso
Serum Gloves (L);Serum (L);91; ; ;Planet Calypso
Serum Harness (L);Serum (L);120; ; ;Planet Calypso
Serum Helmet (L);Serum (L);65.2; ; ;Planet Calypso
Serum Shin Guards (L);Serum (L);92.5; ; ;Planet Calypso
Serum Thigh Guards (L);Serum (L);96; ; ;Planet Calypso
Settler Arm Guards;Settler;3.7;0.00 PED;0.00 PED;Planet Calypso
Settler Face Guard;Settler;1.85;0.00 PED;0.00 PED;Planet Calypso
Settler Foot Guards;Settler;1.85;0.00 PED;0.00 PED;Planet Calypso
Settler Gloves;Settler;1.85;0.00 PED;0.00 PED;Planet Calypso
Settler Harness;Settler;5.55;0.00 PED;0.00 PED;Planet Calypso
Settler Harness, Adjusted;Settler, Adjusted;10.5; ; ;Planet Calypso
Settler Shin Guards;Settler;1.85;0.00 PED;0.00 PED;Planet Calypso
Settler Thigh Guards;Settler;3.7;0.00 PED;0.00 PED;Planet Calypso
Settler Thigh Guards, Adjusted;Settler, Adjusted;7; ; ;Planet Calypso
Shade Arm Guards (L);Shade (L);60; ; ;Monria
Shade Foot Guards (L);Shade (L);30; ; ;Monria
Shade Gloves (L);Shade (L);30; ; ;Monria
Shade Harness;Shade;90; ; ;Monria
Shade Harness (L);Shade (L);90; ; ;Monria
Shade Helmet;Shade;60; ; ;Monria
Shade Helmet (L);Shade (L);60; ; ;Monria
Shade Helmet, Horned;Shade;61; ; ;Monria
Shade Shin Guards (L);Shade (L);30; ; ;Monria
Shade Thigh Guards (L);Shade (L);60; ; ;Monria
Shadow Arm Guards;Shadow;102;4648.00 PED;7000.00 PED;Planet Calypso
Shadow Arm Guards (L);Shadow (L);102; ; ;Planet Calypso
Shadow Arm Guards, Modified;Shadow, Modified;138;0.00 PED;0.00 PED;Planet Calypso
Shadow Arm Guards, SGA Edition;Shadow, SGA Edition;102; ; ;Planet Calypso
Shadow Foot Guards;Shadow;51;9900.00 PED;8000.00 PED;Planet Calypso
Shadow Foot Guards (L);Shadow (L);51; ; ;Planet Calypso
Shadow Foot Guards, Modified;Shadow, Modified;69; ; ;Planet Calypso
Shadow Foot Guards, SGA Edition;Shadow, SGA Edition;51; ; ;Planet Calypso
Shadow Gloves;Shadow;51;6259.00 PED;5000.00 PED;Planet Calypso
Shadow Gloves (L);Shadow (L);51; ; ;Planet Calypso
Shadow Gloves, Modified;Shadow, Modified;69; ; ;Planet Calypso
Shadow Gloves, SGA Edition;Shadow, SGA Edition;51; ; ;Planet Calypso
Shadow Harness;Shadow;153;6856.00 PED;8000.00 PED;Planet Calypso
Shadow Harness (L);Shadow (L);153; ; ;Planet Calypso
Shadow Harness, Modified;Shadow, Modified;207; ; ;Planet Calypso
Shadow Harness, SGA Edition;Shadow, SGA Edition;153; ; ;Planet Calypso
Shadow Helmet;Shadow;51;5927.00 PED;6000.00 PED;Planet Calypso
Shadow Helmet (L);Shadow (L);51; ; ;Planet Calypso
Shadow Helmet, Modified;Shadow, Modified;151;0.00 PED;0.00 PED;Planet Calypso
Shadow Helmet, SGA Edition;Shadow, SGA Edition;51; ; ;Planet Calypso
Shadow Shin Guards;Shadow;51;4171.00 PED;7000.00 PED;Planet Calypso
Shadow Shin Guards (L);Shadow (L);51; ; ;Planet Calypso
Shadow Shin Guards, Modified;Shadow, Modified;69;0.00 PED;0.00 PED;Planet Calypso
Shadow Shin Guards, SGA Edition;Shadow, SGA Edition;51; ; ;Planet Calypso
Shadow Thigh Guards;Shadow;102;7798.00 PED; ;Planet Calypso
Shadow Thigh Guards (L);Shadow (L);102; ; ;Planet Calypso
Shadow Thigh Guards, Modified;Shadow, Modified;138; ; ;Planet Calypso
Shadow Thigh Guards, SGA Edition;Shadow, SGA Edition;102; ; ;Planet Calypso
Shin Guards of the Wormslayer;Wormslayer;88; ; ;Planet Calypso
Shogun Arm Guards;Shogun;25.5; ; ;Planet Calypso
Shogun Arm Guards, SGA Edition;Shogun, SGA Edition;25.5; ; ;Planet Calypso
Shogun Face Guard;Shogun;12.75; ; ;Planet Calypso
Shogun Face Guard, SGA Edition;Shogun, SGA Edition;12.75; ; ;Planet Calypso
Shogun Foot Guards;Shogun;12.75; ; ;Planet Calypso
Shogun Foot Guards, SGA Edition;Shogun, SGA Edition;12.75; ; ;Planet Calypso
Shogun Gloves;Shogun;12.75; ; ;Planet Calypso
Shogun Gloves, SGA Edition;Shogun, SGA Edition;12.75; ; ;Planet Calypso
Shogun Harness;Shogun;38.25; ; ;Planet Calypso
Shogun Harness, Improved;Shogun, Improved;67.5; ; ;Planet Calypso
Shogun Harness, SGA Edition;Shogun, SGA Edition;38.25; ; ;Planet Calypso
Shogun Shin Guards;Shogun;12.75; ; ;Planet Calypso
Shogun Shin Guards, SGA Edition;Shogun, SGA Edition;12.75; ; ;Planet Calypso
Shogun Thigh Guards;Shogun;25.5; ; ;Planet Calypso
Shogun Thigh Guards, Improved;Shogun, Improved;39.7; ; ;Planet Calypso
Shogun Thigh Guards, SGA Edition;Shogun, SGA Edition;25.5; ; ;Planet Calypso
Sigyn Arm Guards;Sigyn;115; ; ;Planet Calypso
Sigyn Foot Guards;Sigyn;70; ; ;Planet Calypso
Sigyn Gloves;Sigyn;70; ; ;Planet Calypso
Sigyn Harness;Sigyn;155; ; ;Planet Calypso
Sigyn Helmet;Sigyn;90; ; ;Planet Calypso
Sigyn Shin Guards;Sigyn;110; ; ;Planet Calypso
Sigyn Thigh Guards;Sigyn;120; ; ;Planet Calypso
Silverstitch Arm Guards;Silverstitch;5.7; ; ;Planet Cyrene
Silverstitch Foot Guards;Silverstitch;5.7; ; ;Planet Cyrene
Silverstitch Hand Guards;Silverstitch;5.7; ; ;Planet Cyrene
Silverstitch Harness;Silverstitch;5.7; ; ;Planet Cyrene
Silverstitch Head Cover;Silverstitch;5.7; ; ;Planet Cyrene
Silverstitch Leg Guards;Silverstitch;5.7; ; ;Planet Cyrene
Silverstitch Shin Guards;Silverstitch;5.7; ; ;Planet Cyrene
Smuggler Helmet;Smuggler armor;52; ; ; 
Solir Arm Guards (L);Solir (L);117.5; ; ;Planet Calypso
Solir Foot Guards (L);Solir (L);117.5; ; ;Planet Calypso
Solir Gloves (L);Solir (L);117.5; ; ;Planet Calypso
Solir Harness (L);Solir (L);156; ; ;Planet Calypso
Solir Helmet (L);Solir (L);79.5; ; ;Planet Calypso
Solir Shin Guards (L);Solir (L);119; ; ;Planet Calypso
Solir Thigh Guards (L);Solir (L);122; ; ;Planet Calypso
Spam Arm Guards (L);Spam (L);100; ; ;ROCKtropia
Spam Foot Guards (L);Spam (L);50; ; ;ROCKtropia
Spam Gloves (L);Spam (L);50; ; ;ROCKtropia
Spam Harness (L);Spam (L);150; ; ;ROCKtropia
Spam Helmet (L);Spam (L);50; ; ;ROCKtropia
Spam Shin Guards (L);Spam (L);50; ; ;ROCKtropia
Spam Thigh Guards (L);Spam (L);100; ; ;ROCKtropia
